year-month,EU,PU,EPU,RPU,REPU
2005-4,79.33217464,104.7735571,83.4117924,117.5374409,89.80044539
2005-5,74.2228997,92.81518163,74.5153454,55.98638019,37.46736595
2005-6,74.588511,105.8888236,70.13851196,120.937827,76.1191031
2005-7,67.17172231,84.26263707,72.99864655,128.1798188,163.467324
2005-8,64.22702256,81.81993981,62.13844237,88.93964289,34.08733735
2005-9,88.00759144,92.49740125,91.22505391,91.58264771,58.64149556
2005-10,60.55317417,97.07947752,66.327321,112.1627732,89.42780204
2005-11,48.21425687,81.3019748,52.80356376,55.47404473,39.85169549
2005-12,58.89518013,97.46104569,79.09097726,109.9657358,111.387482
2006-1,69.39301555,88.76801609,80.41071195,52.74608734,40.35165921
2006-2,49.96213322,66.81654149,50.04875677,49.30745548,61.25900097
2006-3,71.1507977,83.59623392,69.6796901,86.6692064,69.53491374
2006-4,74.11934363,104.4514572,91.70519669,110.7912813,120.6215332
2006-5,75.3049104,94.03920284,84.48513761,46.68771896,34.30111517
2006-6,66.42250617,100.8314994,89.25238591,98.05786721,63.02324063
2006-7,70.81086729,89.61395274,75.48125694,78.91324525,56.28955933
2006-8,75.20623949,92.44220514,87.34664831,92.64292725,76.63140827
2006-9,55.79216351,73.53878365,51.26088439,68.90179644,80.32415177
2006-10,56.55255046,67.36505375,33.42974819,69.36259046,38.96814351
2006-11,59.30044346,67.04983913,55.4973102,76.55572608,90.77712124
2006-12,49.40049108,67.56245867,44.20046342,66.65110183,60.60454458
2007-1,54.52686208,88.76899381,76.46257148,111.0083095,155.3188035
2007-2,49.50223684,71.52359543,51.22511414,89.1663126,51.21731244
2007-3,55.84385573,82.41330248,63.29848277,56.77518011,25.16907859
2007-4,40.75315089,84.19478767,39.44048069,92.30048852,80.74041578
2007-5,53.29767501,98.50915081,61.86891962,119.480829,54.43773481
2007-6,50.16020452,82.49213123,43.28156323,75.09542954,61.16593343
2007-7,43.34603571,69.559295,43.53037386,26.41258376,38.49019191
2007-8,85.11374142,95.36673095,95.73230194,72.91319693,67.51478789
2007-9,77.94701918,109.5516113,88.75749113,98.58415601,93.45052004
2007-10,79.55480213,101.2836883,94.64085085,67.88575994,51.88455285
2007-11,128.2107552,125.9599734,117.3457525,81.20958073,74.23278822
2007-12,146.6612493,106.2628864,160.6922513,78.94182283,127.3451479
2008-1,157.2397193,126.0548729,169.0753217,92.75013301,75.04594752
2008-2,125.8362976,101.1122334,114.9268506,74.80800218,90.12229478
2008-3,118.8189404,112.7830201,137.0591919,132.2576275,172.9151781
2008-4,114.3525754,73.79364175,80.75801171,78.36365895,86.61970374
2008-5,139.3651386,91.48071755,113.3839536,60.39866917,101.5996163
2008-6,104.8089921,85.09329114,96.08972035,78.55732152,109.8049087
2008-7,146.2731072,100.0667583,140.4158082,125.1250344,115.1709847
2008-8,113.390035,84.09016027,93.10496164,61.01859701,58.99746471
2008-9,191.9956992,151.4028223,210.9746318,284.878162,361.5158827
2008-10,271.7614561,143.0914113,222.2174376,167.4304754,319.5669338
2008-11,220.8092923,120.3494278,166.3137979,130.8910126,206.4038866
2008-12,216.4226941,142.9551258,200.8640931,139.2375649,250.6748394
2009-1,201.1267373,120.2758169,166.1119841,120.8835999,191.632442
2009-2,236.1493473,130.4943911,215.4643865,121.9611301,216.6822963
2009-3,203.6848235,118.0235832,173.9468006,150.6557273,215.4850815
2009-4,166.937504,106.5617562,141.003596,144.6480172,193.9195254
2009-5,121.3039978,95.8291353,110.4236858,146.2415628,178.9470829
